run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
hymenoptera_resnet18_qk_ideal_q16_d1_42,0,0.6940887185532277,0.6922677904367447,0.4921259842519685,0.53125,0.001,688.1352165120043
hymenoptera_resnet18_qk_ideal_q16_d1_42,1,0.692779955432171,0.6916796863079071,0.5039370078740157,0.5625,0.001,632.2671227940009
hymenoptera_resnet18_qk_ideal_q16_d1_42,2,0.6903180245339401,0.6903499066829681,0.5551181102362205,0.5625,0.001,676.885941710003
hymenoptera_resnet18_qk_ideal_q16_d1_42,3,0.688927444416707,0.6872962266206741,0.5511811023622047,0.640625,0.0009000000000000001,668.1971415690059
hymenoptera_resnet18_qk_ideal_q16_d1_42,4,0.6867607404866557,0.684484675526619,0.6023622047244095,0.625,0.0009000000000000001,760.4256853020051
hymenoptera_resnet18_qk_ideal_q16_d1_42,5,0.678841387193034,0.6779239624738693,0.7047244094488189,0.78125,0.0009000000000000001,760.9484252319962
hymenoptera_resnet18_qk_ideal_q16_d1_42,6,0.672677855792008,0.6732562482357025,0.8031496062992126,0.84375,0.0008100000000000001,753.2353289789899
hymenoptera_resnet18_qk_ideal_q16_d1_42,7,0.6606417044879883,0.6635560542345047,0.8661417322834646,0.828125,0.0008100000000000001,749.6621637419885
hymenoptera_resnet18_qk_ideal_q16_d1_42,8,0.6640288313542764,0.6693572849035263,0.7913385826771654,0.78125,0.0008100000000000001,750.8997359619971
hymenoptera_resnet18_qk_ideal_q16_d1_42,9,0.6560481782034626,0.6591045558452606,0.8464566929133859,0.875,0.000729,752.3957976399979
