run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
hymenoptera_resnet18_mlp_b_123,0,0.5384742345396928,0.31051502004265785,0.7519685039370079,0.890625,0.001,10.255971521954052
hymenoptera_resnet18_mlp_b_123,1,0.24094709941721337,0.24038716033101082,0.9094488188976378,0.875,0.001,10.075689235003665
hymenoptera_resnet18_mlp_b_123,2,0.16328663337887742,0.23285846784710884,0.9448818897637795,0.859375,0.001,9.828979116049595
hymenoptera_resnet18_mlp_b_123,3,0.17167125445768588,0.2005230374634266,0.937007874015748,0.90625,0.0009000000000000001,9.99549058091361
hymenoptera_resnet18_mlp_b_123,4,0.17114912219873563,0.21789870038628578,0.9291338582677166,0.890625,0.0009000000000000001,10.5308138190303
hymenoptera_resnet18_mlp_b_123,5,0.13299344345105915,0.17628643848001957,0.968503937007874,0.890625,0.0009000000000000001,10.44881961797364
hymenoptera_resnet18_mlp_b_123,6,0.14713113766720914,0.24247052147984505,0.937007874015748,0.890625,0.0008100000000000001,10.368163036066107
hymenoptera_resnet18_mlp_b_123,7,0.10618752141402463,0.1739721316844225,0.968503937007874,0.890625,0.0008100000000000001,10.250660386052914
hymenoptera_resnet18_mlp_b_123,8,0.1164564364773082,0.18054660130292177,0.9606299212598425,0.890625,0.0008100000000000001,9.896306121023372
hymenoptera_resnet18_mlp_b_123,9,0.10247374249724892,0.18468035478144884,0.9566929133858267,0.9375,0.000729,9.888691060012206
