run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
solar_dust_resnet18_pl_noisy_q4_d1_42,ablation,42,solar_dust,resnet18,pl_noisy,pennylane,classification,emulation,4,1,,"amplitude_damping,phase_damping,depolarizing",2070,10,0.001,16,774.9055404365063,0.005825451065293,0.5,0.25,0.5,0.3333333333333333,0.8641666666666667,2026-04-15T09:01:50.453814
solar_dust_resnet18_pl_noisy_q4_d5_42,ablation,42,solar_dust,resnet18,pl_noisy,pennylane,classification,emulation,4,5,,"amplitude_damping,phase_damping,depolarizing",2118,10,0.001,16,2462.462162192911,0.01822418835643206,0.5,0.25,0.5,0.3333333333333333,0.6505555555555556,2026-04-15T09:43:26.872348
solar_dust_resnet18_pl_noisy_q8_d1_42,ablation,42,solar_dust,resnet18,pl_noisy,pennylane,classification,emulation,8,1,,"amplitude_damping,phase_damping,depolarizing",4138,10,0.001,16,2439.971013903618,0.018948204955063695,0.7833333333333333,0.8273427471116817,0.7833333333333333,0.7757976430008624,0.9297222222222222,2026-04-15T10:24:40.855559
solar_dust_resnet18_pl_noisy_q8_d3_42,ablation,42,solar_dust,resnet18,pl_noisy,pennylane,classification,emulation,8,3,,"amplitude_damping,phase_damping,depolarizing",4186,10,0.001,16,6238.716909110546,0.048740732503924994,0.5,0.25,0.5,0.3333333333333333,0.8019444444444443,2026-04-15T12:09:51.524035
