run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
brain_tumor_resnet18_amplitude_damping_42,0,0.6720000013709069,0.6057197123765945,0.58828125,0.784375,0.001,348.03027462400496
brain_tumor_resnet18_amplitude_damping_42,1,0.5999283462762832,0.5607096821069717,0.81015625,0.884375,0.001,333.8241482139565
brain_tumor_resnet18_amplitude_damping_42,2,0.5404025014489889,0.5255153983831405,0.90078125,0.89375,0.001,334.2139172228053
brain_tumor_resnet18_amplitude_damping_42,3,0.5194992326200009,0.4804689422249794,0.89765625,0.93125,0.0009000000000000001,333.90920867491513
brain_tumor_resnet18_amplitude_damping_42,4,0.4545656878501177,0.41686117053031924,0.94296875,0.95,0.0009000000000000001,333.82255454408005
brain_tumor_resnet18_amplitude_damping_42,5,0.41277745701372626,0.36088247299194337,0.93828125,0.9625,0.0009000000000000001,335.54116904502735
brain_tumor_resnet18_amplitude_damping_42,6,0.3545875433832407,0.3152296394109726,0.95859375,0.9625,0.0008100000000000001,337.05540476413444
brain_tumor_resnet18_amplitude_damping_42,7,0.3072612116113305,0.2838041976094246,0.9640625,0.9625,0.0008100000000000001,338.03215727210045
brain_tumor_resnet18_amplitude_damping_42,8,0.276255489513278,0.2675720080733299,0.9578125,0.94375,0.0008100000000000001,336.97607075609267
brain_tumor_resnet18_amplitude_damping_42,9,0.22408321127295494,0.1970570392906666,0.9640625,0.96875,0.000729,337.6162855750881
brain_tumor_resnet18_phase_damping_42,0,0.7165948644280433,0.7084633737802506,0.4984375,0.509375,0.001,333.29293545661494
brain_tumor_resnet18_phase_damping_42,1,0.6627197615802288,0.5994262069463729,0.62578125,0.8375,0.001,332.7667079712264
brain_tumor_resnet18_phase_damping_42,2,0.5776290874928236,0.5206247046589851,0.83359375,0.940625,0.001,333.3325949436985
brain_tumor_resnet18_phase_damping_42,3,0.5146493647247553,0.4616705045104027,0.92265625,0.9625,0.0009000000000000001,333.1526714460924
brain_tumor_resnet18_phase_damping_42,4,0.44679243117570877,0.4034926027059555,0.94375,0.975,0.0009000000000000001,333.22410038812086
brain_tumor_resnet18_phase_damping_42,5,0.38579560779035094,0.36220286786556244,0.9625,0.965625,0.0009000000000000001,333.2369035691954
brain_tumor_resnet18_phase_damping_42,6,0.3418293882161379,0.3268317550420761,0.95703125,0.965625,0.0008100000000000001,332.9441414391622
brain_tumor_resnet18_phase_damping_42,7,0.28460101783275604,0.24004226848483085,0.9625,0.96875,0.0008100000000000001,332.93571695080027
brain_tumor_resnet18_phase_damping_42,8,0.24374427795410156,0.21589238494634627,0.959375,0.959375,0.0008100000000000001,332.7005273043178
brain_tumor_resnet18_phase_damping_42,9,0.20754182813689112,0.17453740984201432,0.96953125,0.978125,0.000729,332.4770510070957
