run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
hymenoptera_resnet18_mlp_a_42,0,0.6707603750735756,0.48480700701475143,0.6377952755905512,0.8125,0.001,9.667608302086592
hymenoptera_resnet18_mlp_a_42,1,0.4174323188742315,0.28166084736585617,0.8149606299212598,0.90625,0.001,9.603110402822495
hymenoptera_resnet18_mlp_a_42,2,0.3335045666441204,0.3188268467783928,0.9133858267716536,0.890625,0.001,9.601503949612379
hymenoptera_resnet18_mlp_a_42,3,0.29260505325212255,0.23000933602452278,0.9173228346456693,0.921875,0.0009000000000000001,9.656059607863426
hymenoptera_resnet18_mlp_a_42,4,0.25023539704600656,0.21844885125756264,0.9251968503937008,0.9375,0.0009000000000000001,9.671164631843567
hymenoptera_resnet18_mlp_a_42,5,0.2376521084252305,0.21851816400885582,0.9488188976377953,0.953125,0.0009000000000000001,9.620885446667671
hymenoptera_resnet18_mlp_a_42,6,0.23108893879285947,0.19906606897711754,0.9409448818897638,0.953125,0.0008100000000000001,9.571191847324371
hymenoptera_resnet18_mlp_a_42,7,0.22926703107169294,0.1900399625301361,0.9251968503937008,0.953125,0.0008100000000000001,9.577958233654499
hymenoptera_resnet18_mlp_a_42,8,0.21682956533169184,0.21679480373859406,0.952755905511811,0.953125,0.0008100000000000001,9.547681089490652
hymenoptera_resnet18_mlp_a_42,9,0.18904998317712873,0.18298757635056973,0.9645669291338582,0.96875,0.000729,9.561198465526104
hymenoptera_resnet18_mlp_a_0,0,0.6507118356040144,0.4617866575717926,0.6181102362204725,0.890625,0.001,9.665844470262527
hymenoptera_resnet18_mlp_a_0,1,0.4256906786302882,0.3791617080569267,0.8622047244094488,0.875,0.001,9.566965490579605
hymenoptera_resnet18_mlp_a_0,2,0.3524024481848469,0.30969420820474625,0.9094488188976378,0.9375,0.001,9.590212117880583
hymenoptera_resnet18_mlp_a_0,3,0.3028706246473658,0.276312205940485,0.9409448818897638,0.96875,0.0009000000000000001,9.623743295669556
hymenoptera_resnet18_mlp_a_0,4,0.28648489127008936,0.26179664582014084,0.9409448818897638,0.96875,0.0009000000000000001,9.687272801995277
hymenoptera_resnet18_mlp_a_0,5,0.2834002802691122,0.25227106735110283,0.9330708661417323,0.96875,0.0009000000000000001,9.643201049417257
hymenoptera_resnet18_mlp_a_0,6,0.25655370410971756,0.2364507094025612,0.952755905511811,0.96875,0.0008100000000000001,9.593924522399902
hymenoptera_resnet18_mlp_a_0,7,0.2753484577644528,0.22808805480599403,0.9094488188976378,0.96875,0.0008100000000000001,9.567365974187851
hymenoptera_resnet18_mlp_a_0,8,0.2483324211413466,0.22188913449645042,0.9488188976377953,0.96875,0.0008100000000000001,9.560272432863712
hymenoptera_resnet18_mlp_a_0,9,0.24058811812419592,0.21399182081222534,0.9488188976377953,0.96875,0.000729,9.576631609350443
