run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
brain_tumor_mobilenetv2_qk_ideal_42,0,0.6877192109823227,0.5827564775943757,0.5796875,0.70625,0.001,100.63353947100404
brain_tumor_mobilenetv2_qk_ideal_42,1,0.5176456943154335,0.43029477447271347,0.79765625,0.928125,0.001,97.66518313999404
brain_tumor_mobilenetv2_qk_ideal_42,2,0.4080373473465443,0.3515239983797073,0.93046875,0.9625,0.001,99.4513437179994
brain_tumor_mobilenetv2_qk_ideal_42,3,0.3211207892745733,0.2716809630393982,0.959375,0.971875,0.0009000000000000001,99.37479988700943
brain_tumor_mobilenetv2_qk_ideal_42,4,0.26711529940366746,0.20944381952285768,0.95703125,0.978125,0.0009000000000000001,99.44950301700737
brain_tumor_mobilenetv2_qk_ideal_42,5,0.19157173652201892,0.16077889688313007,0.96953125,0.98125,0.0009000000000000001,99.47104038999532
brain_tumor_mobilenetv2_qk_ideal_42,6,0.17252431800588966,0.13706935271620752,0.9703125,0.975,0.0008100000000000001,99.01303838798776
brain_tumor_mobilenetv2_qk_ideal_42,7,0.1604034342803061,0.11798804700374603,0.96640625,0.984375,0.0008100000000000001,99.45868051399884
brain_tumor_mobilenetv2_qk_ideal_42,8,0.13822928643785418,0.10677737668156624,0.96640625,0.98125,0.0008100000000000001,99.36863555500167
brain_tumor_mobilenetv2_qk_ideal_42,9,0.1270963753107935,0.09697700832039118,0.975,0.984375,0.000729,99.66509282799962
