run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
solar_dust_resnet18_qk_noisy_q4_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,4,1,1024,,2070,10,0.001,16,340.375892996788,0.002989674743510751,0.48333333333333334,0.3706896551724138,0.48333333333333334,0.33948863636363635,0.5627777777777778,2026-04-15T09:56:54.566963
solar_dust_resnet18_qk_noisy_q4_d5_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,4,5,1024,,2118,10,0.001,16,424.5216201096773,0.003707560069766757,0.5,0.25,0.5,0.3333333333333333,0.4261111111111111,2026-04-15T10:04:12.530446
solar_dust_resnet18_qk_noisy_q8_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,1,1024,,4138,10,0.001,16,467.8319982010871,0.004086066124244264,0.8833333333333333,0.8850446428571428,0.8833333333333333,0.8832035595105673,0.9491666666666666,2026-04-15T10:12:13.461417
solar_dust_resnet18_qk_noisy_q8_d3_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,3,1024,,4186,10,0.001,16,654.4282977101393,0.005700204442418786,0.5,0.5,0.5,0.36079545454545453,0.6886111111111111,2026-04-15T10:23:21.849583
solar_dust_resnet18_qk_noisy_q8_d5_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,5,1024,,4234,10,0.001,16,889.3604279700667,0.007717119136414218,0.43333333333333335,0.3148148148148148,0.43333333333333335,0.3253968253968254,0.4694444444444445,2026-04-15T10:38:25.309192
solar_dust_resnet18_qk_noisy_q16_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,16,1,1024,,8274,10,0.001,16,2024.779743231833,0.01943117489185764,0.4666666666666667,0.3909090909090909,0.4666666666666667,0.3546218487394958,0.4411111111111111,2026-04-15T11:12:35.191551
solar_dust_resnet18_qk_noisy_q16_d3_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,16,3,1024,,8370,10,0.001,16,5022.51483642729,0.052258270653102866,0.5,0.25,0.5,0.3333333333333333,0.5502777777777778,2026-04-15T12:37:03.346206
