run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
brain_tumor_mobilenetv2_linear_0,0,0.36920825969427823,0.1981906782835722,0.8609375,0.95,0.001,34.82549644797109
brain_tumor_mobilenetv2_linear_0,1,0.17871535206213593,0.1293204354122281,0.95234375,0.975,0.001,33.900890117976815
brain_tumor_mobilenetv2_linear_0,2,0.1499980584718287,0.10863174125552177,0.9578125,0.971875,0.001,35.2551728959661
brain_tumor_mobilenetv2_linear_0,3,0.120784494234249,0.08865624871104956,0.96484375,0.98125,0.0009000000000000001,35.460497776046395
brain_tumor_mobilenetv2_linear_0,4,0.12058710264973342,0.08325486574321986,0.96171875,0.9875,0.0009000000000000001,35.499313096981496
brain_tumor_mobilenetv2_linear_0,5,0.11558460853993893,0.07466174270957708,0.9625,0.9875,0.0009000000000000001,35.37968346988782
brain_tumor_mobilenetv2_linear_0,6,0.10472278045490384,0.07026130771264434,0.9703125,0.984375,0.0008100000000000001,35.34446691791527
brain_tumor_mobilenetv2_linear_0,7,0.10728820199146867,0.06872970089316369,0.9671875,0.9875,0.0008100000000000001,35.371777965920046
brain_tumor_mobilenetv2_linear_0,8,0.10255471649579703,0.06599010387435555,0.96875,0.9875,0.0008100000000000001,35.564795412821695
brain_tumor_mobilenetv2_linear_0,9,0.09307745138648897,0.06584851574152709,0.97734375,0.9875,0.000729,35.581512361066416
