run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
cats_vs_dogs_resnet18_amplitude_damping_42,noise_decomposition,42,cats_vs_dogs,resnet18,pl_noisy,pennylane,classification,emulation,4,3,,amplitude_damping,2094,10,0.001,16,4528.712517883629,0.056281075678153214,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9953666666666666,2026-04-28T11:51:21.277300
cats_vs_dogs_resnet18_phase_damping_42,noise_decomposition,42,cats_vs_dogs,resnet18,pl_noisy,pennylane,classification,emulation,4,3,,phase_damping,2094,10,0.001,16,4478.036231238395,0.055665523509193626,0.9783333333333334,0.9784662406223952,0.9783333333333333,0.9783318285992082,0.9965999999999999,2026-04-28T13:06:56.484527
cats_vs_dogs_resnet18_depolarizing_42,noise_decomposition,42,cats_vs_dogs,resnet18,pl_noisy,pennylane,classification,emulation,4,3,,depolarizing,2094,10,0.001,16,4072.5607264973223,0.047127272072519766,0.9866666666666667,0.9866882972576558,0.9866666666666666,0.9866665185168724,0.9921111111111112,2026-04-28T14:15:35.395390
