run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
brain_tumor_resnet18_pl_ideal_0,0,0.5500172395259142,0.4596418261528015,0.8234375,0.94375,0.001,82.26073720213026
brain_tumor_resnet18_pl_ideal_0,1,0.4355093643069267,0.37034579664468764,0.94921875,0.9625,0.001,81.9175106571056
brain_tumor_resnet18_pl_ideal_0,2,0.34858430698513987,0.28543405681848527,0.96640625,0.965625,0.001,81.86786469700746
brain_tumor_resnet18_pl_ideal_0,3,0.2637055519968271,0.2134800910949707,0.96640625,0.98125,0.0009000000000000001,81.80865119583905
brain_tumor_resnet18_pl_ideal_0,4,0.20868453113362193,0.16219254173338413,0.96875,0.978125,0.0009000000000000001,81.86728023295291
brain_tumor_resnet18_pl_ideal_0,5,0.17284847954288124,0.14257174395024777,0.97109375,0.975,0.0009000000000000001,81.7286226558499
brain_tumor_resnet18_pl_ideal_0,6,0.1460596365854144,0.12162591591477394,0.97578125,0.984375,0.0008100000000000001,81.8120391939301
brain_tumor_resnet18_pl_ideal_0,7,0.12157287690788507,0.10049273632466793,0.98203125,0.98125,0.0008100000000000001,81.84279207605869
brain_tumor_resnet18_pl_ideal_0,8,0.1165072220377624,0.11909801959991455,0.98046875,0.98125,0.0008100000000000001,81.79378426889889
brain_tumor_resnet18_pl_ideal_0,9,0.10598557344637811,0.08827726095914841,0.97578125,0.978125,0.000729,81.05327881895937
