run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
hymenoptera_efficientnet_b0_pl_noisy_123,main,123,hymenoptera,efficientnet_b0,pl_noisy,pennylane,classification,emulation,4,3,,"amplitude_damping,phase_damping,depolarizing",5166,10,0.001,16,965.0177468061447,0.01025673609803123,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631579,0.984838497033619,2026-04-15T03:27:24.526612
hymenoptera_efficientnet_b0_pl_noisy_0,main,0,hymenoptera,efficientnet_b0,pl_noisy,pennylane,classification,emulation,4,3,,"amplitude_damping,phase_damping,depolarizing",5166,10,0.001,16,965.1038056053221,0.010276778947460869,0.9358974358974359,0.9365079365079365,0.9350692155570204,0.9356329427298233,0.984179301252472,2026-04-15T03:27:24.601682
hymenoptera_efficientnet_b0_pl_noisy_42,main,42,hymenoptera,efficientnet_b0,pl_noisy,pennylane,classification,emulation,4,3,,"amplitude_damping,phase_damping,depolarizing",5166,10,0.001,16,966.6109615303576,0.010293521399010975,0.9615384615384616,0.9611842105263158,0.9620962425840475,0.9614814814814814,0.984179301252472,2026-04-15T03:27:25.772061
hymenoptera_efficientnet_b0_pl_noisy_456,main,456,hymenoptera,efficientnet_b0,pl_noisy,pennylane,classification,emulation,4,3,,"amplitude_damping,phase_damping,depolarizing",5166,10,0.001,16,977.8530533015728,0.010376523728615961,0.9615384615384616,0.9611842105263158,0.9620962425840475,0.9614814814814814,0.9894528675016481,2026-04-15T03:27:36.952988
