run_id,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s
brain_tumor_regnet_x_400mf_qk_ideal_789,0,0.6899549297988414,0.6743353307247162,0.575,0.796875,0.001,87.0414893470006
brain_tumor_regnet_x_400mf_qk_ideal_789,1,0.656544103473425,0.6050628095865249,0.746875,0.83125,0.001,86.8055042969936
brain_tumor_regnet_x_400mf_qk_ideal_789,2,0.5713606461882591,0.5142189249396324,0.88125,0.953125,0.001,86.93446699599735
brain_tumor_regnet_x_400mf_qk_ideal_789,3,0.5312525678426028,0.4465292692184448,0.9046875,0.953125,0.0009000000000000001,87.10747320199152
brain_tumor_regnet_x_400mf_qk_ideal_789,4,0.4315212402492762,0.35985556095838545,0.9296875,0.9625,0.0009000000000000001,87.2917864780029
brain_tumor_regnet_x_400mf_qk_ideal_789,5,0.3744081111624837,0.29040791392326354,0.93515625,0.959375,0.0009000000000000001,87.48552486600238
brain_tumor_regnet_x_400mf_qk_ideal_789,6,0.3023208504542708,0.24311690255999566,0.9484375,0.959375,0.0008100000000000001,87.24189989500155
brain_tumor_regnet_x_400mf_qk_ideal_789,7,0.24432365875691175,0.2218172736465931,0.95703125,0.95625,0.0008100000000000001,87.44147479398816
brain_tumor_regnet_x_400mf_qk_ideal_789,8,0.21663010939955712,0.17494227923452854,0.95078125,0.96875,0.0008100000000000001,87.42819349799538
brain_tumor_regnet_x_400mf_qk_ideal_789,9,0.197578408382833,0.17653970383107662,0.9515625,0.959375,0.000729,86.99317465900094
