run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
hymenoptera_resnet18_linear_456,main,456,hymenoptera,resnet18,linear,classical,classification,simulation,,,,,1024,10,0.001,16,95.58690520003438,0.0010024234798721428,0.9871794871794872,0.986842105263158,0.9878048780487805,0.9871604938271605,0.991430454845089,2026-04-14T18:51:15.847349
hymenoptera_resnet18_linear_789,main,789,hymenoptera,resnet18,linear,classical,classification,simulation,,,,,1024,10,0.001,16,95.90954528003931,0.0010057847419693922,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631579,0.992089650626236,2026-04-14T18:51:15.859781
hymenoptera_resnet18_linear_0,main,0,hymenoptera,resnet18,linear,classical,classification,simulation,,,,,1024,10,0.001,16,95.69270180910826,0.0010034705178844094,0.9871794871794872,0.986842105263158,0.9878048780487805,0.9871604938271605,0.9980224126565589,2026-04-14T18:51:15.883083
hymenoptera_resnet18_linear_123,main,123,hymenoptera,resnet18,linear,classical,classification,simulation,,,,,1024,10,0.001,16,96.07312133535743,0.0010075045929979398,0.9743589743589743,0.974291364535267,0.974291364535267,0.974291364535267,0.9907712590639419,2026-04-14T18:51:16.234023
hymenoptera_resnet18_linear_42,main,42,hymenoptera,resnet18,linear,classical,classification,simulation,,,,,1024,10,0.001,16,96.22004502639174,0.0010090067923333083,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631579,0.992748846407383,2026-04-14T18:51:16.398924
